status,city,state,country,classification,openfda,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,termination_date,report_date,code_info,more_code_info,gmp_category,is_class_1
Terminated,Fountain Run,KY,United States,Class II,{},Drugs,77601,Apace KY LLC,12954 Fountain Run Rd,,42133-7914,Voluntary: Firm initiated,E-Mail,KY,D-1035-2017,"Amantadine HCl Capsules, USP, 100 mg, Rx Only,  50 Capsules (5x10) Unit Dose Cartons, Manufactured for: AvKARE Inc, Pulaski, TN 38478 --- NDC: 50268-0069-15","1,483 cartons","Labeling; Label Mix up; cartons labeled as Amantadine HCl 100 mg Capsules contain unit dose blister cards of Cyclobenzaprine HCl Tablet, USP 5 mg",20170619.0,20170731.0,20180504.0,20170809.0,"Lot:  16710, exp 07/2018",,⑧ 이물혼입/물리적결함,0
Terminated,Dublin,OH,United States,Class II,"{'application_number': ['NDA200796'], 'brand_name': ['EDARBI'], 'generic_name': ['AZILSARTAN KAMEDOXOMIL'], 'manufacturer_name': ['Azurity Pharmaceuticals, Inc.'], 'product_ndc': ['60631-040', '60631-080'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['AZILSARTAN KAMEDOXOMIL'], 'rxcui': ['1091646', '1091650', '1091652', '1091654'], 'spl_id': ['2f63b0e8-977a-4d22-9550-29ad1926a9de'], 'spl_set_id': ['52b27c75-9f5a-4816-bafd-dace9d7d2063'], 'package_ndc': ['60631-040-07', '60631-040-30', '60631-040-77', '60631-080-07', '60631-080-30', '60631-080-77'], 'is_original_packager': [True], 'upc': ['0360631080308', '0360631040302']}",Drugs,87512,Cardinal Health Inc.,7000 Cardinal Pl,,43017-1091,Voluntary: Firm initiated,Letter,"FL, GA, SC",D-0429-2021,"Edarbi (azilsartan medoxomil) tablets 80 mg 30 Tablets Rx Only NDC 60631-080-30 Manufactured for: arbor Pharmaceuticals Atlanta, GA 30328",328 bottles,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,20210315.0,20210524.0,20240617.0,20210602.0,78902-1,,⑦ 일반 CGMP 결함,0
Terminated,Knoxville,TN,United States,Class II,{},Drugs,71371,The Compounding Pharmacy of America,6216 Highland Place Way Ste 101-A,,37919-4068,Voluntary: Firm initiated,Telephone,Nationwide,D-1519-2015,"HCG 1,100 IU/ml Injection, Multi-Dose Vial, Sterile, Refrigerate The Compounding Pharmacy of America, Knoxville, TN",1558 ml total,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,20150602.0,20150915.0,20160210.0,20150923.0,"All lots distributed between November 2014 and May 2015;  05062015@32, 8/4/2015; 02272015@16, 5/28/2015; 03032015@33, 6/1/2015; 03042015@36, 6/2/2015; 03062015@43, 6/4/2015; 03092015@77, 6/7/2015; 03092015@92, 6/7/2015; 03132015@17, 11/2015; 03162015@23, 14/2015; 03172015@40, 5/2015; 03232015@39, 6/21/2015; 03242015@23, 6/22/2015; 03242015@29, 6/22/2015; 04162015@46, 7/15/2015; 04012015@8, 6/30/2015; 04062015@10, 7/5/2015; 04072015@17, 7/6/2015; 04142015@2, 7/13/2015; 04132015@34, 7/12/2015; 04202015@45, 7/19/2015; 04172015@63, 7/16/2015; 04272015@5, 7/26/2015; 05082015@44, 8/6/2015",,① 무균보증실패,0
Terminated,Eatontown,NJ,United States,Class II,{},Drugs,67022,West-Ward Pharmaceutical Corp.,465 Industrial Way W,,07724-2209,Voluntary: Firm initiated,Letter,Nationwide,D-367-2014,"Carisoprodol Tablets, USP 350 mg, Rx Only, 1000 tablets.  Dist by: West-ward Pharmaceutical Corp. Eatontown, NJ 07724. Mfd by: Shasun Chemicals and Drugs Limited, Unit II, R. S. Na 32, 33, 743 PIMS Rd, Periyakalepet, Pondicherry. 605014 INDIA. NDC 0143-9749-10.","20,534 bottles","Presence of Foreign Substance; heavy metals (chromium, titanium etc) and inactive components of the product were visually observed during routine stability testing",20131107.0,20131216.0,20140814.0,20131225.0,"NDC 0143-9749-10  Lot: 1) 10BR001B, Exp Aug-2014  2) 10BR002B, Exp Aug-2014 3) 10BR003B Exp, Aug-2014 4) 10BR004B Exp, Aug-2014  5) 10BR005B Exp, Aug-2014 6) 10BR006B Exp, Aug-2014 7) 11BR001B Exp, Aug-2014 8) 11BR002B Exp, Jul-2015 9) 11BR003B Exp, Jul-2015  10) 11BR004B Exp, Jul-2015  11) 11BR005B Exp, Jul-2015 12) 11BR006B Exp, Jul-2015",,⑧ 이물혼입/물리적결함,0
Terminated,Dublin,OH,United States,Class II,"{'application_number': ['ANDA077857'], 'brand_name': ['ENOXAPARIN SODIUM'], 'generic_name': ['ENOXAPARIN SODIUM'], 'manufacturer_name': ['Sandoz Inc'], 'product_ndc': ['0781-3238', '0781-3246', '0781-3256', '0781-3262', '0781-3268', '0781-3298', '0781-3299'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['SUBCUTANEOUS'], 'substance_name': ['ENOXAPARIN SODIUM'], 'rxcui': ['854228', '854235', '854238', '854241', '854245', '854248', '854252'], 'spl_id': ['82c50153-58b8-4c35-8fc2-1d9b3d3ac7de'], 'spl_set_id': ['38f60bd8-b518-4098-a808-b8f5a3ae6a3a'], 'package_ndc': ['0781-3238-01', '0781-3238-63', '0781-3246-02', '0781-3246-64', '0781-3256-03', '0781-3256-66', '0781-3262-04', '0781-3262-68', '0781-3268-05', '0781-3268-69', '0781-3298-04', '0781-3298-68', '0781-3299-05', '0781-3299-69'], 'is_original_packager': [True], 'unii': ['8NZ41MIK1O']}",Drugs,89450,CARDINAL HEALTHCARE,7200 Cardinal Pl W,,43017-1094,Voluntary: Firm initiated,Letter,Nationwide USA,D-0179-2024,"Enoxaparin Sodium Injection, USP, 150MG/ML Single-Dose Syringes with Automatic Safety Device, For Subcutaneous Injection, Ten 1 mL Syringes per box, Rx Only, Sandoz Inc, Princeton, NJ 08540.  NDC: 0781-3299-69",2 units,CGMP Deviations: Products were exposed to temperatures outside of the products labeled storage conditions.,20220126.0,20231226.0,20240929.0,20240103.0,Batch SAH06821A,,⑦ 일반 CGMP 결함,0
Terminated,Olive Branch,MS,United States,Class I,{},Drugs,80719,Westminster Pharmaceuticals LLC,1 & 2,154 Downing Street,38654,Voluntary: Firm initiated,Letter,Nationwide in the USA and Puerto Rico,D-1178-2018,"Levothyroxine and Liothyronine (Thyroid Tablets, USP), 1 grain (60 mg), 100-count bottles, Rx Only, Manufactured for: Westminster Pharmaceuticals, LLC, 154 Downing Street, Unit 1 & 2, Olive Branch, MS 38654, NDC 69367-156-04.",Unknown,"Failed Content Uniformity Specifications: Product was manufactured using an adulterated active pharmaceutical ingredient; additionally, lack of process controls and good manufacturing practices resulted in finished product failing content uniformity specifications which can result in a product having a strength that is more or less than is labeled.",20180803.0,20180907.0,20200603.0,20180829.0,"Lot #: 15617VP03, 15617VP01, 15617VP-02, Exp 7/31/2019;  15617VP06, 15617VP05, Exp 11/30/2019; 15617VP04, 15618004, 15618002, Exp 12/31/2019; 15618009, 15618008, Exp 2/29/2020; 15618011, Exp 3/31/2020.",,④ 품질규격 미달,1
Terminated,Boca Raton,FL,United States,Class II,{},Drugs,78553,"KRS Global Biotechnology, Inc",791 Park of Commerce Blvd Ste 600,,33487-3633,Voluntary: Firm initiated,Letter,"Nationwide in the USA, Bermuda, and New Zealand",D-0176-2018,"Human Chorionic Gonadotropin 6,000 iu/Vial, For SC Use -Lyophilized, Rx Only, KRS Global Biotechnology, 791 Park of Commerce Blvd, Boca Raton, FL 33487.","2,239 vials",Labeling: Incorrect or Missing Lot and/or Exp Date: Beyond Use Date (BUD) exceed the BUD/EXP of at least one ingredient used to make final product.,20171116.0,20180108.0,20200511.0,20180117.0,Lot: 08302017@11 BUD: 2/26/2018,,⑤ 표시/라벨링 오류,0
Terminated,Chesapeake,VA,United States,Class II,{},Drugs,91466,Sentara Infusion Services,535 Independence Pkwy Ste 300,,23320-5176,Voluntary: Firm initiated,Telephone,Dispensed to Patients Nationwide.,D-0296-2023,"HYDROMORPHONE (a) 1MG/ML IN NS,  50ML, 75 ML, 100ML, 175ML(NDC 00703-0018-01 and NDC 00409-2634-50) ; (b) 5MG/ML IN NS 60ML, 100ML, 250ML; pain, Rx only, used with a Curlin pump or no pump, Sentara Home Infusion Pharmacy Services, 535 Independence Pkwy, Ste 300, Chesapeake, VA 23320, NDC# 00409-2634-50",37 bags,Lack of sterility assurance,20221227.0,20230215.0,20260220.0,20230222.0,"Beyond Use Date: December 24-31, 2022",,① 무균보증실패,0
Terminated,Vancouver,WA,United States,Class II,{},Drugs,65707,"Aidapak Services, LLC",14301 Se 1st St,,98684-3501,Voluntary: Firm initiated,Telephone,"Repacked drugs were distributed in Arizona, California, Oregon, and Washington.",D-518-2014,"FAMOTIDINE Tablet, 20 mg, Over The Counter, Distributed by: AidaPak Service, LLC, NDC 16714036104",700 Tablets,"Labeling: Label Mixup; FAMOTIDINE Tablet, 20 mg may be potentially mislabeled as    CARVEDILOL PHOSPHATE ER, Capsule, 20 mg, NDC 00007337113, Pedigree: W003225, EXP: 6/17/2014;  DULoxetine HCl DR, Capsule, 20 mg, NDC 00002323560, Pedigree: W003506, EXP: 6/21/2014;  FAMOTIDINE, Tablet, 20 mg, NDC 16714036104, Pedigree: W003507, EXP: 6/21/2014;  MYCOPHENOLATE MOFETIL, Capsule, 250 mg, NDC 0037822500",20130702.0,20140116.0,20140207.0,20140122.0,"FAMOTIDINE Tablet, 20 mg has the following codes    Pedigree: W003226, EXP: 6/17/2014;  Pedigree: W003507, EXP: 6/21/2014;  Pedigree: W003508, EXP: 6/21/2014;  Pedigree: W003764, EXP: 6/26/2014;  Pedigree: W003406, EXP: 6/19/2014.",,⑤ 표시/라벨링 오류,0
Terminated,Asbury Park,NJ,United States,Class II,{},Drugs,78991,Flawless Beauty LLC,1215 Main St,,07712-5940,Voluntary: Firm initiated,Press Release,Product was distributed U.S.A. nationwide.,D-0333-2018,Ling Zhi capsules,,"Marketed Without An Approved NDA/ANDA: Flawless Beauty, LLC is voluntarily recalling all lots of different products sold individually or as part of multi-unit kits in accordance with Consent Decree of Permanent Injunction ordered by the United States District Court due to misbranding and unapproved new drugs pursuant to the FD&C Act.",20180119.0,20180205.0,20180913.0,20180214.0,all lots,,⑥ 인허가 위반,0
Ongoing,Dawsonville,GA,United States,Class II,{},Drugs,92054,Direct Rx,94 Worldwide Dr,,30534-6828,Voluntary: Firm initiated,Letter,Nationwide in the USA,D-0508-2023,"Alprazolam C-IV, 1 mg, packaged in a) 30 Tabs per bottle, NDC 72189-213-30; b) 60 Tabs per bottle, NDC 72189-213-60; Rx only, Packaged and Distributed By: Direct Rx Dawsonville, GA 30534.",349 bottles,CGMP Deviations: Repackaging firm recalling due to potential product cross contamination concerns at the manufacturer.,20230322.0,20230406.0,,20230412.0,"Lots: a) 03FE2318, Exp. 8/31/24; b) 27FE2315, 28FE2313, 02MA2306, 21SE2201, 16NO2216, 17NO2216, 24FA2314, Exp. 8/31/24; 17FE2203, 12AP2204, 17MA2205, Exp. 3/31/23; 21JU2206, 22JU2220, 12JY2206, Exp. 5/31/23; 10AU2209, Exp. 6/30/23; 14DE2215, Exp. 9/30/24; 05JA2304, 27JA2301, Exp. 11/30/24.",,③ 교차오염,0
Terminated,Brookhaven,NY,United States,Class II,"{'application_number': ['ANDA090576'], 'brand_name': ['NIZATIDINE'], 'generic_name': ['NIZATIDINE'], 'manufacturer_name': ['Amneal Pharmaceuticals LLC'], 'product_ndc': ['60846-301'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['NIZATIDINE'], 'rxcui': ['476872'], 'spl_id': ['aedc4160-2165-451e-8a3b-26d3bb911242'], 'spl_set_id': ['39e62997-8781-449a-e054-00144ff88e88'], 'package_ndc': ['60846-301-15'], 'is_original_packager': [True], 'nui': ['N0000000151', 'N0000175784'], 'pharm_class_moa': ['Histamine H2 Receptor Antagonists [MoA]'], 'pharm_class_epc': ['Histamine-2 Receptor Antagonist [EPC]'], 'unii': ['P41PML4GHR']}",Drugs,85386,"Amneal Pharmaceuticals of New York, LLC",50 Horseblock Rd,,11719-9509,Voluntary: Firm initiated,Press Release,Nationwide,D-1253-2020,"Nizatidine Oral Solution, 15 mg/mL (75 mg/5mL) USP 480 mL bottles, Rx Only Distributed by: Gemini Laboratories, LLC Bridgewater, NJ 08807 NDC 60846-301-15",11258 bottles,CGMP Deviations: potential N-Nitrosodimethylamine (NDMA) amounts above levels established by the FDA.,20200415.0,20200424.0,20210908.0,20200506.0,06598004A 04/2020  06599001A 12/2020  06599002A 12/2020,,⑦ 일반 CGMP 결함,0
Terminated,Lincoln,NE,United States,Class II,{},Drugs,65422,Novartis Consumer Health,10401 Hwy 6,,68517-9626,Voluntary: Firm initiated,Letter,"Nationwide, Puerto Rico, Brazil and Panama",D-844-2013,"Excedrin Migraine (Acetaminophen 250 mg, Aspirin (NSAID) 250 mg and Caffeine 65 mg), a) 2-count tablets packaged in pouches, Distributed by Novartis Consumer Health, Inc., Parsippany, NJ, NDC 0067 203 702     Foreign packaging: b) Excedrin Migrana (Acetaminophen 250 mg, Aspirin 250 mg and 65 mg Caffeine) 2-ct pouches.  The foreign packaging do not have NDC numbers","10,624,000 pouches",Defective container: products are packaged in pouches which may not have been fully sealed,20130606.0,20130806.0,20141104.0,20130814.0,"Lot  # a) 10116809, Exp 5/13    Foreign: Lot #s b) 10115644 Exp 5/13; 10118226 Exp 5/13; 10118227 Exp 6/13; 10118228  Exp 6/13; 10121956 Exp 8/13 and 10121957 Exp 8/13",,기타,0
Terminated,Toronto,,Canada,Class II,{},Drugs,70452,Attix Pharmaceuticals,184 Front St E,unit 801,,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Nationwide to compounding pharmacies and research organizations.,D-707-2015,"Homatropine Methylbromide active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",940 grams,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,20141114.0,20150420.0,20151007.0,20150429.0,All lots repackaged and distributed between 01/05/12 to 02/12/15,,③ 교차오염,0
Terminated,Bolingbroke,GA,United States,Class I,{},Drugs,86270,SG24 LLC,8315 Rivoli Road,Ste A,31004,Voluntary: Firm initiated,Press Release,Nationwide,D-1572-2020,"SkinGuard 24 All-Day Hand Sanitizer 8 oz. bottle with foam pump, Dist by: SG24 LLC, Bolingbroke, GA 31004  UPC 793573147125",9600 bottles,Marketed without an Approved NDA/ANDA; product labeled to contain 0.56% methanol making it an unapproved new drug,20200814.0,20200911.0,20230605.0,20200909.0,SKU 051230024  All lots labeled to contain methanol,,⑥ 인허가 위반,1
Terminated,Houston,TX,United States,Class II,{},Drugs,82941,"Pharm D Solutions, LLC",1304 S Loop W,,77054-4010,FDA Mandated,Press Release,Nationwide within the United States,D-1325-2019,"Human Chorionic Gonadotropin 5,000 IU vials, Rx only, Pharm D. Solutions 1304 South Loop West, Houston, TX 77054, 1-844-263-6846",279 vials,Lack of Sterility Assurance.,20190523.0,20190607.0,20210205.0,20190619.0,Lot #: 01082019:88 Exp. 07/06/2019; 03182019:58 Exp. 09/14/2019,,① 무균보증실패,0
Ongoing,Hattiesburg,MS,United States,Class II,{},Drugs,90982,"Pharmacy Plus, Inc. dba Vital Care Compounder",115 S 40th Ave,,39402-6600,Voluntary: Firm initiated,Telephone,"AL, LA, MS, and TN",D-0037-2023,"MEDROXYPROGESTERONE ACETATE 300 MG/ML Suspension, 10 mL vial, Rx only, Vital Care Compounder, 115 S. 40th Ave., Hattiesburg, MS  39402",40 vials,Lack of Assurance of Sterility: FDA inspection found the recalled products were produced in a manner than cannot guarantee the sterility of the products purported to be sterile.,20221007.0,20221102.0,,20221109.0,"Lot: 55786, BUD: 12/31/2022",,① 무균보증실패,0
Terminated,Norwalk,CT,United States,Class II,{},Drugs,91719,"Ecometics, Inc.",19 Concord St,,06854-3706,Voluntary: Firm initiated,Letter,Nationwide within the United States,D-0452-2023,"Unguentine Original Maximum Strength Pain Relieving/Antiseptic Ointment (Camphor 3.0%, Phenol 2.5%, Tannic Acid 2.2%, Oxide 6.6%), packaged in 1 oz. (28.3g) metal tubes, Distributed by: Oakhurst Company Levittown, NY 11756",,CGMP DEVIATIONS,20230224.0,20230308.0,20230621.0,20230315.0,"Lot #: 1E346A, Exp. Date Nov-23; 2E304A, Exp. Date Oct-24",,⑦ 일반 CGMP 결함,0
